medallion,hack_license,vendor_id,pickup_datetime	rate_code,store_and_fwd_flag,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount
2013000196,2013000196,CMT,2013-01-01 00:01:26	1,N,2013-01-01 00:09:24,2,483,2.20,-73.990753,40.729794,-73.970345,40.756294,CRD,8.5,0.5,0.5,1.9,0,11.4
2013000198,2013000198,CMT,2013-01-01 00:01:29	1,N,2013-01-01 00:04:40,1,193,.60,-73.965012,40.755863,-73.973694,40.755215,CRD,4.5,0.5,0.5,1.1,0,6.6
2013000200,2013000200,CMT,2013-01-01 00:01:29	1,N,2013-01-01 00:18:39,1,1029,8.60,-74.012581,40.70166,-73.932449,40.744534,CRD,26,0.5,0.5,6.75,0,33.75
2013000202,2013000202,CMT,2013-01-01 00:01:32	1,N,2013-01-01 00:06:04,1,274,1.40,-73.955444,40.779499,-73.947571,40.796261,CSH,6,0.5,0.5,0,0,7
2013000204,2013000204,CMT,2013-01-01 00:01:35	1,N,2013-01-01 00:05:53,1,261,.40,-73.991982,40.744312,-73.987335,40.741936,CSH,4.5,0.5,0.5,0,0,5.5
2013000209,2013000209,CMT,2013-01-01 00:01:37	1,N,2013-01-01 00:10:18,4,522,1.40,-73.993813,40.735889,-74.002892,40.720913,CSH,8,0.5,0.5,0,0,9
2013000210,2013000210,CMT,2013-01-01 00:01:40	1,N,2013-01-01 00:08:01,1,384,2.80,-73.981163,40.741707,-73.954262,40.775578,CSH,9.5,0.5,0.5,0,0,10.5
2013000213,2013000213,CMT,2013-01-01 00:01:41	1,N,2013-01-01 00:12:28,1,648,3.00,-73.990479,40.686691,-73.992134,40.725365,CSH,12,0.5,0.5,0,0,13
2013000222,2013000222,CMT,2013-01-01 00:01:54	1,N,2013-01-01 00:13:49,1,728,3.50,-73.994408,40.740402,-73.956398,40.767231,CRD,13,0.5,0.5,2.8,0,16.8
2013000224,2013000224,CMT,2013-01-01 00:01:57	1,N,2013-01-01 00:19:51,2,1076,2.00,-73.981491,40.767612,-73.981819,40.752712,CSH,13,0.5,0.5,0,0,14
2013000227,2013000227,CMT,2013-01-01 00:01:58	1,N,2013-01-01 00:07:43,2,346,1.10,-74.012085,40.707443,-74.006233,40.714325,CSH,6,0.5,0.5,0,0,7
2013000232,2013000232,VTS,2013-01-01 00:02:00	1,N,2013-01-01 00:12:23,3,625,1.10,-74.005692,40.740349,-73.994606,40.750492,CSH,8.5,0.5,0.5,0,0,9.5
2013000238,2013000238,VTS,2013-01-01 00:02:00	1,,2013-01-01 00:06:00,1,240,.53,-73.981934,40.769608,-73.977295,40.774387,CSH,4.5,0.5,0.5,0,0,5.5
2013000244,2013000244,VTS,2013-01-01 00:02:00	1,,2013-01-01 00:08:00,1,360,1.67,-73.955521,40.779541,-73.964317,40.792328,CRD,7.5,0.5,0.5,3.3,0,11.8
2013000256,2013000256,VTS,2013-01-01 00:02:00	1,,2013-01-01 00:10:00,3,480,2.29,-73.976662,40.785511,-73.947365,40.791023,CSH,9,0.5,0.5,0,0,10
2013000261,2013000261,VTS,2013-01-01 00:02:00	1,,2013-01-01 00:10:00,1,480,1.39,-74.00396,40.741959,-73.987457,40.750458,CSH,7,0.5,0.5,0,0,8
2013000268,2013000268,VTS,2013-01-01 00:02:00	1,,2013-01-01 00:18:00,6,960,7.42,-73.866615,40.771156,-73.936287,40.814426,CRD,22.5,0.5,0.5,3.7,4.8,32
2013000273,2013000273,VTS,2013-01-01 00:02:00	1,,2013-01-01 00:14:00,4,720,3.75,-73.978531,40.74535,-73.972206,40.785606,CRD,13,0.5,0.5,2.7,0,16.7
2013000285,2013000285,VTS,2013-01-01 00:02:00	1,,2013-01-01 00:19:00,2,1020,4.13,-74.013016,40.702393,-74.002304,40.751846,CSH,16,0.5,0.5,0,0,17
2013000291,2013000291,VTS,2013-01-01 00:02:00	1,,2013-01-01 00:07:00,1,300,.66,-73.997627,40.763859,-73.994987,40.769932,CSH,5,0.5,0.5,0,0,6
2013000297,2013000297,VTS,2013-01-01 00:02:00	1,,2013-01-01 00:13:00,1,660,2.06,-73.995239,40.759289,-73.986267,40.744286,CRD,10.5,0.5,0.5,1,0,12.5
2013000306,2013000306,VTS,2013-01-01 00:02:00	1,,2013-01-01 00:05:00,1,180,1.12,-73.959633,40.762802,-73.948555,40.774818,CRD,5,0.5,0.5,1,0,7
2013000312,2013000312,CMT,2013-01-01 00:02:03	1,,2013-01-01 00:19:00,1,1020,6.62,-74.003418,40.751469,-73.95182,40.824444,CRD,21.5,0.5,0.5,3,0,25.5
2013000315,2013000315,CMT,2013-01-01 00:02:04	1,N,2013-01-01 00:08:00,2,356,.60,-73.977585,40.751911,-73.972656,40.759247,CSH,5.5,0.5,0.5,0,0,6.5
2013000318,2013000318,CMT,2013-01-01 00:02:05	1,N,2013-01-01 00:07:24,1,319,1.20,-73.987816,40.728615,-73.986221,40.715755,CRD,6,0.5,0.5,1,0,8
